路段1,路段2,路段3,路段4,路段5,路段6,路段7,路段8,路段9,路段10,路段11,路段12,路段13,路段14
80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
80.0,80.0,80.0,80.0,80.0,80.0,90.0,85.0,80.0,80.0,80.0,80.0,80.0,80.0
80.0,80.0,80.0,80.0,80.0,90.0,100.0,95.0,90.0,90.0,80.0,80.0,80.0,80.0
80.0,80.0,80.0,80.0,90.0,100.0,110.0,105.0,100.0,100.0,90.0,80.0,80.0,80.0
80.0,80.0,80.0,90.0,100.0,110.0,120.0,115.0,110.0,110.0,100.0,90.0,80.0,80.0
80.0,80.0,90.0,100.0,110.0,120.0,120.0,120.0,120.0,120.0,110.0,100.0,90.0,80.0
80.0,90.0,100.0,110.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,110.0,100.0,90.0
80.0,80.0,90.0,100.0,110.0,120.0,120.0,120.0,120.0,120.0,120.0,115.0,105.0,95.0
80.0,80.0,80.0,90.0,100.0,110.0,120.0,120.0,120.0,120.0,115.0,105.0,95.0,85.0
80.0,80.0,80.0,80.0,90.0,100.0,110.0,115.0,115.0,115.0,105.0,95.0,85.0,80.0
80.0,80.0,80.0,85.0,95.0,105.0,115.0,105.0,105.0,105.0,95.0,85.0,80.0,80.0
80.0,80.0,85.0,95.0,105.0,115.0,120.0,115.0,105.0,105.0,95.0,85.0,80.0,80.0
80.0,80.0,80.0,85.0,95.0,105.0,115.0,110.0,105.0,110.0,100.0,90.0,80.0,80.0
80.0,80.0,80.0,90.0,100.0,110.0,120.0,110.0,100.0,105.0,95.0,85.0,80.0,80.0
80.0,80.0,80.0,85.0,95.0,105.0,115.0,105.0,95.0,100.0,90.0,80.0,80.0,80.0
80.0,80.0,80.0,80.0,85.0,95.0,105.0,100.0,100.0,100.0,90.0,80.0,80.0,80.0
80.0,80.0,80.0,80.0,80.0,85.0,95.0,90.0,90.0,90.0,80.0,80.0,80.0,80.0
80.0,80.0,80.0,80.0,80.0,80.0,85.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
