门架名称,状态,车辆编号,车型,轨迹编号,时间戳
门架7,正常,车000001,客车,1.0,1645576637.0
门架8,正常,车000001,客车,1.0,1645577179.0
门架9,正常,车000001,客车,1.0,1645577781.0
门架10,正常,车000001,客车,1.0,1645577782.0
门架5,正常,车000002,客车,1.0,1645593170.0
门架6,正常,车000002,客车,1.0,1645593275.0
门架7,正常,车000002,客车,1.0,1645593440.0
门架8,正常,车000002,客车,1.0,1645594016.0
门架9,正常,车000002,客车,1.0,1645594316.0
门架10,正常,车000002,客车,1.0,1645594391.0
门架11,正常,车000002,客车,1.0,1645594606.0
门架12,正常,车000002,客车,1.0,1645594921.0
门架13,正常,车000002,客车,1.0,1645594943.0
门架14,正常,车000002,客车,1.0,1645595296.0
门架15,正常,车000002,客车,1.0,1645595777.0
门架5,正常,车000003,客车,1.0,1645580946.0
门架6,正常,车000003,客车,1.0,1645581065.0
门架7,正常,车000003,客车,1.0,1645581250.0
门架8,正常,车000003,客车,1.0,1645581896.0
门架9,正常,车000003,客车,1.0,1645582241.0
门架10,正常,车000003,客车,1.0,1645582325.0
门架11,正常,车000003,客车,1.0,1645582532.0
门架5,正常,车000004,客车,1.0,1645481840.0
门架6,正常,车000004,客车,1.0,1645482035.0
门架7,正常,车000004,客车,1.0,1645482270.0
门架8,正常,车000004,客车,1.0,1645483055.0
门架9,正常,车000004,客车,1.0,1645483445.0
门架10,正常,车000004,客车,1.0,1645483535.0
门架11,正常,车000004,客车,1.0,1645483725.0
门架12,正常,车000004,客车,1.0,1645484095.0
门架13,正常,车000004,客车,1.0,1645484205.0
门架14,正常,车000004,客车,1.0,1645484520.0
门架15,正常,车000004,客车,1.0,1645485780.0
门架4,正常,车000005,客车,1.0,1645487900.0
门架4,正常,车000005,客车,2.0,1645574090.0
门架7,正常,车000006,客车,1.0,1645749605.0
门架8,正常,车000006,客车,1.0,1645750205.0
门架9,正常,车000006,客车,1.0,1645750521.0
门架10,正常,车000006,客车,1.0,1645750596.0
门架11,正常,车000006,客车,1.0,1645750792.0
门架12,正常,车000006,客车,1.0,1645751166.0
门架13,正常,车000006,客车,1.0,1645751202.0
门架14,正常,车000006,客车,1.0,1645751515.0
门架6,漏过,车000007,客车,1.0,1645625175.5
门架12,漏过,车000007,客车,1.0,1645627428.0
门架5,正常,车000007,客车,1.0,1645624629.0
门架7,正常,车000007,客车,1.0,1645625722.0
门架8,正常,车000007,客车,1.0,1645627177.0
门架9,正常,车000007,客车,1.0,1645627183.0
门架10,正常,车000007,客车,1.0,1645627276.0
门架11,正常,车000007,客车,1.0,1645627278.0
门架13,正常,车000007,客车,1.0,1645627578.0
门架12,正常,车000007,客车,1.0,1645627579.0
门架12,正常,车000007,客车,2.0,1645790483.0
门架13,正常,车000007,客车,2.0,1645790484.0
门架9,正常,车000008,客车,1.0,1645694111.0
门架10,正常,车000008,客车,1.0,1645694191.0
门架5,正常,车000009,客车,1.0,1645837442.0
门架6,正常,车000009,客车,1.0,1645837551.0
门架7,正常,车000009,客车,1.0,1645837736.0
门架8,正常,车000009,客车,1.0,1645838366.0
门架9,正常,车000009,客车,1.0,1645838684.0
门架10,正常,车000009,客车,1.0,1645838765.0
门架7,正常,车000010,客车,1.0,1645660119.0
门架8,正常,车000010,客车,1.0,1645660730.0
门架9,正常,车000010,客车,1.0,1645661041.0
门架10,正常,车000010,客车,1.0,1645661120.0
门架11,正常,车000010,客车,1.0,1645661295.0
门架12,正常,车000010,客车,1.0,1645661765.0
门架13,正常,车000010,客车,1.0,1645661855.0
门架2,正常,车000011,客车,1.0,1645606065.0
门架3,正常,车000011,客车,1.0,1645606130.0
门架5,正常,车000012,客车,1.0,1645509326.0
门架6,正常,车000012,客车,1.0,1645509505.0
门架7,正常,车000012,客车,1.0,1645509747.0
门架8,正常,车000012,客车,1.0,1645510492.0
门架9,正常,车000012,客车,1.0,1645510860.0
门架10,正常,车000012,客车,1.0,1645510953.0
门架11,正常,车000012,客车,1.0,1645511246.0
门架12,正常,车000012,客车,1.0,1645511586.0
门架13,正常,车000012,客车,1.0,1645511855.0
门架14,正常,车000012,客车,1.0,1645512264.0
门架15,正常,车000012,客车,1.0,1645513091.0
门架4,正常,车000013,客车,1.0,1645945460.0
门架4,正常,车000014,客车,1.0,1645789984.0
门架5,正常,车000014,客车,1.0,1645790280.0
门架6,正常,车000014,客车,1.0,1645790404.0
门架7,正常,车000014,客车,1.0,1645790606.0
门架8,正常,车000014,客车,1.0,1645791241.0
门架9,正常,车000014,客车,1.0,1645791580.0
门架10,正常,车000014,客车,1.0,1645791675.0
门架11,正常,车000014,客车,1.0,1645791860.0
门架8,漏过,车000015,客车,1.0,1645856020.0
门架6,正常,车000015,客车,1.0,1645855355.0
门架7,正常,车000015,客车,1.0,1645855541.0
门架9,正常,车000015,客车,1.0,1645856499.0
门架10,正常,车000015,客车,1.0,1645856570.0
门架6,漏过,车000016,客车,1.0,1645671606.5
门架5,正常,车000016,客车,1.0,1645671440.0
门架7,正常,车000016,客车,1.0,1645671773.0
门架8,正常,车000016,客车,1.0,1645672336.0
门架9,正常,车000016,客车,1.0,1645672657.0
门架10,正常,车000016,客车,1.0,1645672730.0
门架7,正常,车000017,客车,1.0,1645791045.0
门架8,正常,车000017,客车,1.0,1645791870.0
门架4,正常,车000018,客车,1.0,1645513267.0
门架5,正常,车000018,客车,1.0,1645513602.0
门架6,正常,车000018,客车,1.0,1645513736.0
门架7,正常,车000018,客车,1.0,1645513946.0
门架8,正常,车000018,客车,1.0,1645514642.0
门架9,正常,车000018,客车,1.0,1645514991.0
门架10,正常,车000018,客车,1.0,1645515076.0
门架1,正常,车000019,客车,1.0,1645768936.0
门架2,正常,车000019,客车,1.0,1645770410.0
门架7,正常,车000020,客车,1.0,1645521141.0
门架8,正常,车000020,客车,1.0,1645521756.0
门架9,正常,车000020,客车,1.0,1645522076.0
门架10,正常,车000020,客车,1.0,1645522155.0
门架11,正常,车000020,客车,1.0,1645522361.0
门架12,正常,车000021,客车,1.0,1645838556.0
门架13,正常,车000021,客车,1.0,1645838613.0
门架14,正常,车000021,客车,1.0,1645838925.0
门架15,正常,车000021,客车,1.0,1645839526.0
门架5,正常,车000022,客车,1.0,1645521259.0
门架6,正常,车000022,客车,1.0,1645521397.0
门架7,正常,车000022,客车,1.0,1645521549.0
门架4,正常,车000022,客车,2.0,1645776571.0
门架5,正常,车000022,客车,2.0,1645776902.0
门架6,正常,车000022,客车,2.0,1645777025.0
门架7,正常,车000022,客车,2.0,1645777224.0
门架7,正常,车000023,客车,1.0,1645943962.0
门架6,漏过,车000024,客车,1.0,1645697872.5
门架4,正常,车000024,客车,1.0,1645697420.0
门架5,正常,车000024,客车,1.0,1645697710.0
门架7,正常,车000024,客车,1.0,1645698035.0
门架8,正常,车000024,客车,1.0,1645698686.0
门架9,正常,车000024,客车,1.0,1645699685.0
门架10,正常,车000024,客车,1.0,1645699805.0
门架7,正常,车000025,货车,1.0,1645512396.0
门架8,正常,车000025,货车,1.0,1645513336.0
门架9,正常,车000025,货车,1.0,1645513806.0
门架7,正常,车000025,货车,2.0,1645596165.0
门架8,正常,车000025,货车,2.0,1645597085.0
门架9,正常,车000025,货车,2.0,1645597526.0
门架7,正常,车000025,货车,3.0,1645685155.0
门架8,正常,车000025,货车,3.0,1645686080.0
门架9,正常,车000025,货车,3.0,1645686555.0
门架7,正常,车000025,货车,4.0,1645765670.0
门架8,正常,车000025,货车,4.0,1645766575.0
门架9,正常,车000025,货车,4.0,1645767041.0
门架1,正常,车000026,客车,1.0,1645755541.0
门架2,正常,车000026,客车,1.0,1645757726.0
门架3,正常,车000026,客车,1.0,1645757801.0
门架5,正常,车000026,客车,3.0,1645760056.0
门架6,正常,车000026,客车,3.0,1645760165.0
门架7,正常,车000026,客车,3.0,1645760361.0
门架8,正常,车000026,客车,3.0,1645760995.0
门架9,正常,车000026,客车,3.0,1645761318.0
门架10,正常,车000026,客车,3.0,1645761391.0
门架11,正常,车000026,客车,3.0,1645761656.0
门架12,正常,车000026,客车,3.0,1645761905.0
门架13,正常,车000026,客车,3.0,1645762081.0
