收费站,时间区间起点,入站车流,出站车流
收费站13,2022-02-22 00:00:00,5,0
收费站13,2022-02-22 01:00:00,0,0
收费站13,2022-02-22 02:00:00,2,0
收费站13,2022-02-22 03:00:00,0,0
收费站13,2022-02-22 04:00:00,1,0
收费站13,2022-02-22 05:00:00,0,0
收费站13,2022-02-22 06:00:00,7,0
收费站13,2022-02-22 07:00:00,22,0
收费站13,2022-02-22 08:00:00,35,0
收费站13,2022-02-22 09:00:00,40,0
收费站13,2022-02-22 10:00:00,49,0
收费站13,2022-02-22 11:00:00,29,0
收费站13,2022-02-22 12:00:00,29,0
收费站13,2022-02-22 13:00:00,43,0
收费站13,2022-02-22 14:00:00,49,1
收费站13,2022-02-22 15:00:00,45,0
收费站13,2022-02-22 16:00:00,48,0
收费站13,2022-02-22 17:00:00,42,0
收费站13,2022-02-22 18:00:00,40,0
收费站13,2022-02-22 19:00:00,28,0
收费站13,2022-02-22 20:00:00,16,0
收费站13,2022-02-22 21:00:00,14,0
收费站13,2022-02-22 22:00:00,5,0
收费站13,2022-02-22 23:00:00,3,0
收费站13,2022-02-23 00:00:00,4,0
收费站13,2022-02-23 01:00:00,1,0
收费站13,2022-02-23 02:00:00,1,0
收费站13,2022-02-23 03:00:00,0,0
收费站13,2022-02-23 04:00:00,2,0
收费站13,2022-02-23 05:00:00,2,0
收费站13,2022-02-23 06:00:00,7,0
收费站13,2022-02-23 07:00:00,22,0
收费站13,2022-02-23 08:00:00,22,0
收费站13,2022-02-23 09:00:00,37,0
收费站13,2022-02-23 10:00:00,46,0
收费站13,2022-02-23 11:00:00,35,0
收费站13,2022-02-23 12:00:00,25,0
收费站13,2022-02-23 13:00:00,34,0
收费站13,2022-02-23 14:00:00,40,0
收费站13,2022-02-23 15:00:00,47,0
收费站13,2022-02-23 16:00:00,51,0
收费站13,2022-02-23 17:00:00,47,0
收费站13,2022-02-23 18:00:00,33,0
收费站13,2022-02-23 19:00:00,31,0
收费站13,2022-02-23 20:00:00,18,0
收费站13,2022-02-23 21:00:00,9,0
收费站13,2022-02-23 22:00:00,7,0
收费站13,2022-02-23 23:00:00,5,0
收费站13,2022-02-24 00:00:00,2,0
收费站13,2022-02-24 01:00:00,4,0
收费站13,2022-02-24 02:00:00,1,0
收费站13,2022-02-24 03:00:00,1,0
收费站13,2022-02-24 04:00:00,1,0
收费站13,2022-02-24 05:00:00,3,0
收费站13,2022-02-24 06:00:00,6,0
收费站13,2022-02-24 07:00:00,9,0
收费站13,2022-02-24 08:00:00,28,0
收费站13,2022-02-24 09:00:00,32,0
收费站13,2022-02-24 10:00:00,33,0
收费站13,2022-02-24 11:00:00,31,0
收费站13,2022-02-24 12:00:00,33,0
收费站13,2022-02-24 13:00:00,31,0
收费站13,2022-02-24 14:00:00,46,0
收费站13,2022-02-24 15:00:00,38,0
收费站13,2022-02-24 16:00:00,46,0
收费站13,2022-02-24 17:00:00,51,0
收费站13,2022-02-24 18:00:00,32,0
收费站13,2022-02-24 19:00:00,29,0
收费站13,2022-02-24 20:00:00,14,0
收费站13,2022-02-24 21:00:00,14,0
收费站13,2022-02-24 22:00:00,6,0
收费站13,2022-02-24 23:00:00,1,0
收费站13,2022-02-25 00:00:00,4,0
收费站13,2022-02-25 01:00:00,1,0
收费站13,2022-02-25 02:00:00,0,0
收费站13,2022-02-25 03:00:00,0,0
收费站13,2022-02-25 04:00:00,1,0
收费站13,2022-02-25 05:00:00,1,0
收费站13,2022-02-25 06:00:00,5,0
收费站13,2022-02-25 07:00:00,17,0
收费站13,2022-02-25 08:00:00,35,0
收费站13,2022-02-25 09:00:00,32,0
收费站13,2022-02-25 10:00:00,32,0
收费站13,2022-02-25 11:00:00,39,0
收费站13,2022-02-25 12:00:00,37,0
收费站13,2022-02-25 13:00:00,26,0
收费站13,2022-02-25 14:00:00,54,0
收费站13,2022-02-25 15:00:00,56,0
收费站13,2022-02-25 16:00:00,46,0
收费站13,2022-02-25 17:00:00,51,0
收费站13,2022-02-25 18:00:00,39,0
收费站13,2022-02-25 19:00:00,27,0
收费站13,2022-02-25 20:00:00,13,0
收费站13,2022-02-25 21:00:00,15,0
收费站13,2022-02-25 22:00:00,10,0
收费站13,2022-02-25 23:00:00,3,0
收费站13,2022-02-26 00:00:00,5,0
收费站13,2022-02-26 01:00:00,1,0
收费站13,2022-02-26 02:00:00,2,0
收费站13,2022-02-26 03:00:00,1,0
收费站13,2022-02-26 04:00:00,3,0
收费站13,2022-02-26 05:00:00,3,0
收费站13,2022-02-26 06:00:00,5,0
收费站13,2022-02-26 07:00:00,11,0
收费站13,2022-02-26 08:00:00,23,0
收费站13,2022-02-26 09:00:00,39,0
收费站13,2022-02-26 10:00:00,39,0
收费站13,2022-02-26 11:00:00,32,0
收费站13,2022-02-26 12:00:00,31,0
收费站13,2022-02-26 13:00:00,42,0
收费站13,2022-02-26 14:00:00,38,0
